,id,name,Link,Min_players,Max_players,Min_duration,Max_duration,Weight
128,146021,Eldritch Horror,https://boardgamegeek.com/boardgame/146021,1,8,120,240,3.32
129,12,Ra,https://boardgamegeek.com/boardgame/12,2,5,45,60,2.32
130,172386,Mombasa,https://boardgamegeek.com/boardgame/172386,2,4,75,150,3.89
131,359871,Arcs,https://boardgamegeek.com/boardgame/359871,2,4,60,120,3.4
132,269385,The Lord of the Rings: Journeys in Middle-Earth,https://boardgamegeek.com/boardgame/269385,1,5,60,120,2.68
133,310100,Nemesis: Lockdown,https://boardgamegeek.com/boardgame/310100,1,5,90,180,3.89
134,418059,SETI: Search for Extraterrestrial Intelligence,https://boardgamegeek.com/boardgame/418059,1,4,40,160,3.73
135,12493,Twilight Imperium: Third Edition,https://boardgamegeek.com/boardgame/12493,3,6,180,240,4.26
136,163412,Patchwork,https://boardgamegeek.com/boardgame/163412,2,na,15,30,1.6
137,36218,Dominion,https://boardgamegeek.com/boardgame/36218,2,4,30,na,2.35
138,102680,Trajan,https://boardgamegeek.com/boardgame/102680,2,4,60,120,3.63
139,4098,Age of Steam,https://boardgamegeek.com/boardgame/4098,1,6,120,na,3.87
140,144733,Russian Railroads,https://boardgamegeek.com/boardgame/144733,2,4,120,na,3.4
141,218417,Aeon's End: War Eternal,https://boardgamegeek.com/boardgame/218417,1,4,60,na,2.92
142,180263,The 7th Continent,https://boardgamegeek.com/boardgame/180263,1,4,5,1000,2.9
143,43015,Hansa Teutonica,https://boardgamegeek.com/boardgame/43015,2,5,45,90,3.09
144,205896,Rising Sun,https://boardgamegeek.com/boardgame/205896,3,5,90,120,3.3
145,227935,Wonderland's War,https://boardgamegeek.com/boardgame/227935,2,5,45,125,3.03
146,175640,Vinhos: Deluxe Edition,https://boardgamegeek.com/boardgame/175640,1,4,90,180,4.01
147,410201,Wyrmspan,https://boardgamegeek.com/boardgame/410201,1,5,90,na,2.8
148,196340,Yokohama,https://boardgamegeek.com/boardgame/196340,2,4,90,na,3.29
149,233371,Clank! In! Space!: A Deck-Building Adventure,https://boardgamegeek.com/boardgame/233371,2,4,45,90,2.58
150,198928,Iberia,https://boardgamegeek.com/boardgame/198928,2,5,45,na,2.6
151,175155,Forbidden Stars,https://boardgamegeek.com/boardgame/175155,2,4,120,180,3.84
152,178900,Codenames,https://boardgamegeek.com/boardgame/178900,2,8,15,na,1.26
153,254640,Just One,https://boardgamegeek.com/boardgame/254640,3,7,20,60,1.04
154,172287,Champions of Midgard,https://boardgamegeek.com/boardgame/172287,2,4,60,90,2.62
155,132531,Roll for the Galaxy,https://boardgamegeek.com/boardgame/132531,2,5,45,na,2.78
156,266524,PARKS,https://boardgamegeek.com/boardgame/266524,1,5,30,60,2.12
157,325494,ISS Vanguard,https://boardgamegeek.com/boardgame/325494,1,4,90,120,3.67
158,220877,Rajas of the Ganges,https://boardgamegeek.com/boardgame/220877,2,4,45,75,2.9
159,30549,Pandemic,https://boardgamegeek.com/boardgame/30549,2,4,45,na,2.4
160,118048,Targi,https://boardgamegeek.com/boardgame/118048,2,na,60,na,2.34
161,304783,Hadrian's Wall,https://boardgamegeek.com/boardgame/304783,1,6,30,60,3.17
162,263918,Cartographers,https://boardgamegeek.com/boardgame/263918,1,100,30,45,1.87
163,262712,Res Arcana,https://boardgamegeek.com/boardgame/262712,2,4,30,60,2.64
164,189932,Tyrants of the Underdark,https://boardgamegeek.com/boardgame/189932,2,4,60,na,2.55
165,147020,Star Realms,https://boardgamegeek.com/boardgame/147020,2,na,20,na,1.92
166,281259,The Isle of Cats,https://boardgamegeek.com/boardgame/281259,1,4,60,90,2.36
167,463,Magic: The Gathering,https://boardgamegeek.com/boardgame/463,2,na,20,na,3.27
168,274364,Watergate,https://boardgamegeek.com/boardgame/274364,2,na,30,60,2.27
169,396790,Nucleum,https://boardgamegeek.com/boardgame/396790,1,4,60,150,4.17
170,161970,Alchemists,https://boardgamegeek.com/boardgame/161970,2,4,120,na,3.92
171,271324,It's a Wonderful World,https://boardgamegeek.com/boardgame/271324,1,5,45,na,2.32
172,14996,Ticket to Ride: Europe,https://boardgamegeek.com/boardgame/14996,2,5,30,60,1.92
173,268864,Undaunted: Normandy,https://boardgamegeek.com/boardgame/268864,2,na,45,60,2.25
174,235802,Too Many Bones: Undertow,https://boardgamegeek.com/boardgame/235802,1,2,60,180,4.04
175,77423,The Lord of the Rings: The Card Game,https://boardgamegeek.com/boardgame/77423,1,2,30,60,3.22
176,34635,Stone Age,https://boardgamegeek.com/boardgame/34635,2,4,60,90,2.46
177,308765,Praga Caput Regni,https://boardgamegeek.com/boardgame/308765,1,4,45,150,3.74
178,127023,Kemet,https://boardgamegeek.com/boardgame/127023,2,5,90,120,3.0
179,2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,https://boardgamegeek.com/boardgame/2511,1,8,60,120,2.66
